Index,Layer,Text,X,Y,Z
1,0,150,-15.097568,-45.997816,0.000000
2,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,-190.505890,-20.764412,0.000000
3,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-190.685214,-20.784966,0.000000
4,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-190.505890,-20.764412,0.000000
5,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-191.113455,-17.873287,0.000000
6,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-188.032047,-19.653781,0.000000
7,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-193.654192,-20.636781,0.000000
8,LWK-Z N-P TXT,D,-205.581416,-8.044719,0.000000
9,LWK-Z N-P TXT,U,-204.150655,-9.099261,0.000000
10,LWK-TXT,LIFT PIT,-39.927340,-43.926748,0.000000
11,0,EXIT,-48.246043,-0.138769,0.000000
12,0,xqc;\fArial Narrow|b0|i0|c0|p34;FRS,-48.065602,1.109024,0.000000
13,0,150,-179.042657,78.931102,0.000000
14,0,150,-178.489874,79.422057,0.000000
15,0,150,-178.968133,78.693038,0.000000
16,LWK-TXT-RM,RAMP DN,-46.338480,-84.744793,0.000000
17,LWK-TXT-RM,DN TO B2,-75.156131,-69.508344,0.000000
18,LWK-TXT-RM,1:8,-46.314488,-85.990816,0.000000
19,LWK-TXT-RM,DRIVEWAY,-46.339194,-83.918404,0.000000
20,LWK-TXT,MASTER WATER METER ROOM,-49.711567,12.499358,0.000000
21,0,EXIT,-204.985225,-7.892452,0.000000
22,0,xqc;\fArial Narrow|b0|i0|c0|p34;FRS,-204.804784,-6.644659,0.000000
23,0,EXIT,-47.842327,-41.883333,0.000000
24,0,xqc;\fArial Narrow|b0|i0|c0|p34;FRS,-47.661886,-40.635540,0.000000
25,0,EVMC,-52.533526,-47.464290,0.000000
26,0,EVMC,-52.962979,-44.377221,0.000000
27,0,EVMC,-52.962979,-44.377221,0.000000
28,0,150,60.145589,-46.087599,0.000000
29,0,150,60.555696,-45.472441,0.000000
30,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,54.305694,-55.194639,0.000000
31,LWK-Z NOT-PRINT BLOCK TEXT,900.0,54.125248,-55.190289,0.000000
32,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,54.305694,-55.194639,0.000000
33,LWK-Z NOT-PRINT BLOCK TEXT,900.0,54.102282,-52.247375,0.000000
34,LWK-Z NOT-PRINT BLOCK TEXT,900.0,56.908971,-54.435464,0.000000
35,LWK-Z NOT-PRINT BLOCK TEXT,900.0,51.205006,-54.634431,0.000000
36,LWK-TXT,30R UP,54.543326,-48.511090,0.000000
37,LWK-TXT,B2,57.855636,-52.513975,0.000000
38,LWK-TXT,"24R LANDING
-0.038FFL",54.412697,-50.190196,0.000000
39,LWK-TXT,B1,72.436916,-52.513975,0.000000
40,LWK-TXT,28R UP,69.495399,-48.511090,0.000000
41,LWK-TXT,2R UP,75.436252,-50.514200,0.000000
42,LWK-TXT,5FFL,78.616102,-53.815859,0.000000
43,LWK-TXT,"43R
3.425FFL",64.996951,-33.806985,0.000000
44,0,150,61.353851,-67.279370,0.000000
45,0,150,61.763957,-66.664213,0.000000
46,LWK-TXT,22R UP,55.939514,-69.883316,0.000000
47,LWK-TXT,B2,57.956970,-73.935785,0.000000
48,0,150,72.956547,-67.279370,0.000000
49,0,150,73.366653,-66.664213,0.000000
50,LWK-TXT,22R UP,67.542210,-69.883316,0.000000
51,LWK-TXT,B1,69.559666,-73.935785,0.000000
52,LWK-TXT,22R -0.25FFL,48.587474,-75.756947,0.000000
53,LWK-TXT,42R 3.25FFL,65.369222,-75.756947,0.000000
54,0,EVMC,-106.371356,-42.697856,0.000000
55,0,EVMC,-106.800809,-39.610786,0.000000
56,0,EVMC,-106.800809,-39.610786,0.000000
57,0,EVMC,-105.241216,-50.821724,0.000000
58,0,EVMC,-105.670669,-47.734654,0.000000
59,0,EVMC,-105.670669,-47.734654,0.000000
60,0,EVMC,-102.599823,-55.020161,0.000000
61,0,EVMC,-103.198783,-58.078866,0.000000
62,0,EVMC,-103.198783,-58.078866,0.000000
63,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,-63.252186,-56.971811,0.000000
64,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-63.247835,-56.791365,0.000000
65,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-63.252186,-56.971811,0.000000
66,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-60.304922,-56.768403,0.000000
67,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-62.493015,-59.575090,0.000000
68,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-62.691974,-53.871124,0.000000
69,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,-50.000000,-32.164963,0.000000
70,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-50.180446,-32.160614,0.000000
71,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH750.0,-50.000000,-32.164963,0.000000
72,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-50.203412,-29.217700,0.000000
73,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-47.396723,-31.405789,0.000000
74,LWK-Z NOT-PRINT BLOCK TEXT,900.0,-53.100688,-31.604756,0.000000
75,LWK-TXT,FIREMAN'S LIFT LOBBY,-38.600445,-49.632212,0.000000
76,LWK-Z NOT-PRINT BLOCK TEXT,CLEAR WIDTH950.0,-50.585059,-38.631890,0.000000
